"","name","character_name","type","filename","likelyGender","raceEthnicity"
"173","Nick Holmes","Horuz' Mate","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"174","Max Wrottesley","Sacrificed Nova Corpsman","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"175","Nicole Alexandria Shipley","Pretty Xandarian","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"176","Sharif Atkins","Nova Arresting Pilot","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"177","Brendan Fehr","Corpsman Dey's Partner","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"178","Tomas Arana","Kree Ambassador","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","HL"
"179","Mikaela Hoover","Nova Prime's Assistant","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"180","Emmett J. Scanlan","Head Riot Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"181","Dominic Grant","Angry Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"182","Spencer Wilding","Mean Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"183","Alison Lintott","Sad Woman With Horns","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"184","Alexis Rodney","Moloka Dar","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"185","Nathan Fillion","Montrous Inmate","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"186","Keeley Forsyth","Mottled Prisoner","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"187","Frank Gilhooley","Burly Prisoner","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"188","Alexis Denisof","The Other","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"189","Enzo Cilenti","Watchtower Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"190","Richard Katz","One Legged Prisoner","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"191","Enoch Frost","Rifle Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"192","Ronan Summers","""Drop The Leg"" Guard","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"193","Ophelia Lovibond","Carina","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","B_NL"
"194","Laura Ortiz","Tortured Pink Girl","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","HL"
"195","Marama Corlett","Pit Boss","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","B_NL"
"196","Rosie Jones","Lady of the Boot of Jemiah","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","B_NL"
"197","Abidemi Sobande","Lady of the Boot of Jemiah","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","B_NL"
"198","Alex Rose","Lady of the Boot of Jemiah","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"199","Ekaterina Zalitko","Lady of the Boot of Jemiah","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"200","Emily Redding","Lady of the Boot of Jemiah","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"201","Fred Fred","Cosmo the Space Dog","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","B_NL"
"202","Stephen Blackehart","Knowhere Dispatcher","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"203","Jennifer Moylan-Taylor","Sad Krylorian Girl","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"204","Bruce MacKinnon","One-Eyed Ravager","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"205","Ralph Ineson","Ravager Pilot","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"206","Rob Zombie","Ravager Navigator Voice","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"207","Naomi Ryan","Nova Centurion","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"208","John Brotherton","Nova Starblaster Pilot","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"209","Graham Shiels","Alien Nova Pilot","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"210","James Gunn","Maskless Sakaaran","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"211","Douglas Robson","Maskless Sakaaran","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"212","Rachel Cullen","Corpsman Dey's Wife","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"213","Isabella Poynton","Corpsman Dey's Daughter","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"214","Imogen Poynton","Corpsman Dey's Daughter","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","W_NL"
"215","David Yarovesky","Goth Ravager","Supporting Cast","2014_2_Guardians of the Galaxy.csv","male","W_NL"
"216","Miriam Lucia","Crying Xandarian Citizen","Supporting Cast","2014_2_Guardians of the Galaxy.csv","female","HL"
"217","Martin Freeman","Bilbo","Leading Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"218","Ian McKellen","Gandalf the Grey","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"219","Richard Armitage","Thorin Oakenshield","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"220","Evangeline Lilly","Tauriel","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","B_NL"
"221","Lee Pace","Thranduil","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","W_NL"
"222","Luke Evans","Bard","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"223","Benedict Cumberbatch","Smaug/Necromancer","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","B_NL"
"224","Ken Stott","Balin","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"225","James Nesbitt","Bofur","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","B_NL"
"226","Cate Blanchett","Galadriel","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","B_NL"
"227","Ian Holm","Old Bilbo","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"228","Christopher Lee","Saruman","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","A"
"229","Hugo Weaving","Elrond","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","HL"
"230","Orlando Bloom","Legolas","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","HL"
"231","Stephen Fry","Master of Laketown","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"232","John Bell","Bain","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"233","Manu Bennett","Azog","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","B_NL"
"234","Jed Brophy","Nori","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"235","Adam Brown","Ori","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","B_NL"
"236","John Callen","Oin","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"237","Billy Connolly","Dain","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"238","Ryan Gage","Alfrid","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"239","Mark Hadlow","Dori","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"240","Stephen Hunter","Bombur","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"241","William Kircher","Bifur","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"242","Sylvester McCoy","Radagast","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","B_NL"
"243","Graham McTavish","Dwalin","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"244","Dean O'Gorman","Fili","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"245","Mikael Persbrandt","Beorn","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"246","Aidan Turner","Kili","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"247","Peter Hambleton","Gloin","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"248","Peggy Nesbitt","Sigrid","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","W_NL"
"249","Mary Nesbitt","Tilda","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","B_NL"
"250","John Tui","Bolg","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","A"
"251","Mark Mitchinson","Braga","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male","W_NL"
"252","Kelly Kilgour","Soury","Supporting Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","female","W_NL"
